"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6770","제주특별자치도","제주시","지방도",2,126.530991,"2",30,NA
"6771","제주특별자치도","제주시","지방도",1,126.521276,"2",30,NA
"6772","제주특별자치도","제주시","지방도",1,126.567378,"2",30,NA
"6773","제주특별자치도","제주시","지방도",1,126.575982,"2",30,NA
"6774","제주특별자치도","서귀포시","지방도",2,126.285333,"2",50,NA
"6775","제주특별자치도","서귀포시","지방도",1,126.562931,"2",50,NA
"6776","제주특별자치도","서귀포시","지방도",1,126.563279,"2",50,NA
"6777","제주특별자치도","제주시","지방도",1,126.539064,"1",50,NA
"6778","제주특별자치도","제주시","지방도",1,126.539043,"1",50,NA
"6779","제주특별자치도","서귀포시","지방도",1,126.930241,"1",50,NA
"6780","제주특별자치도","서귀포시","지방도",2,126.676641,"1",50,NA
"6781","제주특별자치도","서귀포시","지방도",2,126.620421,"1",60,NA
"6782","제주특별자치도","서귀포시","지방도",1,126.423921,"2",70,NA
"6783","제주특별자치도","서귀포시","지방도",2,126.405331,"2",70,NA
"6784","제주특별자치도","서귀포시","지방도",2,126.551031,"2",60,NA
"6785","제주특별자치도","서귀포시","국가지원지방도",2,126.830221,"1",50,NA
"6786","제주특별자치도","제주시","지방도",1,126.496671,"2",30,NA
"6787","제주특별자치도","제주시","지방도",1,126.496671,"2",30,NA
"6788","제주특별자치도","제주시","지방도",1,126.477641,"2",30,NA
"6789","제주특별자치도","제주시","지방도",1,126.477641,"2",30,NA
"6790","제주특별자치도","제주시","시도",1,126.450781,"2",50,NA
"6791","제주특별자치도","제주시","시도",1,126.450781,"2",50,NA
"6792","제주특별자치도","제주시","지방도",2,126.344921,"2",30,NA
"6793","제주특별자치도","제주시","시도",1,126.533291,"1",30,NA
"6794","제주특별자치도","제주시","시도",1,126.487431,"1",30,NA
"6795","제주특별자치도","서귀포시","시도",2,126.256111,"1",30,NA
"6796","제주특별자치도","제주시","지방도",1,126.296391,"1",30,NA
"6797","제주특별자치도","제주시","시도",1,126.395171,"2",80,NA
"6798","제주특별자치도","제주시","지방도",1,126.676321,"2",70,NA
"6799","제주특별자치도","제주시","지방도",2,126.892741,"2",70,NA
