"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5109","경상북도","상주시","2",2,128.169364,"1",80,NA
"5110","경상북도","상주시","2",2,128.154348,"1",60,NA
"5111","경상북도","상주시","5",1,128.212619,"1",60,NA
"5112","경상북도","상주시","2",2,128.255167,"1",80,NA
"5113","경상북도","상주시","2",1,128.151826,"1",60,NA
"5114","경상북도","상주시","2",1,128.149558,"1",50,NA
"5115","경상북도","상주시","2",2,128.092971,"1",60,NA
"5116","경상북도","상주시","2",2,128.028884,"1",60,NA
"5117","경상북도","상주시","5",1,128.142596,"1",60,NA
"5118","경상북도","상주시","4",1,128.153796,"1",60,NA
"5119","경상북도","상주시","5",1,128.151266,"01",50,NA
"5120","경상북도","상주시","5",2,128.173541,"01",60,NA
"5121","경상북도","상주시","4",2,128.072987,"1",60,NA
"5122","경상북도","상주시","4",3,128.118958,"1",60,NA
"5123","경상북도","상주시","4",3,128.157255,"1",60,NA
"5124","경상북도","상주시","2",2,128.151418,"01",50,NA
"5125","경상북도","상주시","5",2,128.165805,"01",50,NA
"5126","경상북도","상주시","2",1,128.147488,"01",60,NA
"5127","경상북도","상주시","2",1,127.938301,"1",60,NA
"5128","경상북도","상주시","4",1,128.027345,"1",60,NA
"5129","경상북도","상주시","5",1,128.188479,"1",50,NA
"5130","경상북도","상주시","2",1,128.151208,"01",50,NA
"5572","경상북도","안동","시도",1,128.509848,"3",60,NA
"5573","경상북도","안동","시도",1,128.3277427,"3",60,NA
"5574","경상북도","구미","일반국도",2,128.3318944,"2",60,NA
"5575","경상북도","구미","시도",1,128.2861739,"2",30,NA
"5576","경상북도","성주","지방도",2,128.3124676,"1",30,NA
"5577","경상북도","성주","군도",1,128.3124676,"1",30,NA
"5578","경상북도","성주","군도",2,129.3570979,"1",30,NA
"5579","경상북도","포항북부","시도",2,129.3746572,"2",30,NA
"5580","경상북도","포항북부","시도",1,129.3727114,"2",30,NA
"5581","경상북도","포항북부","시도",1,128.3526086,"2",30,NA
"5582","경상북도","성주","군도",2,128.2621442,"1",30,NA
"5583","경상북도","성주","군도",1,129.0928896,"1",30,NA
"5584","경상북도","영천","일반국도",2,128.6171529,"2",60,NA
"5585","경상북도","영주","시도",1,128.6116127,"2",40,NA
"5586","경상북도","영주","시도",1,128.4528291,"2",40,NA
"5587","경상북도","고령","시도",2,128.3609214,"1",30,NA
